Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (EGP),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (EGP)",Link clicks,shop_clicks,CPC (cost per link click) (EGP),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (EGP),Landing page views,Cost per landing page view (EGP),Messaging conversations started,Ad ID,Ad set name,Campaign ID,Campaign name,Ad set ID,Reporting starts,Reporting ends,Bid,Bid type,Objective,Cost per messaging conversation started (EGP)
"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2026-01-12,-,-,-,0,0,,,,,0,0,0,,,,120238581980430517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120238581976750517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120238581978150517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120239019502160517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239019498070517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239019498340517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎""مش نقص شغل... نقص مهارة!"" 💡‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120242798818540517,"Post: ‎""‎""مش نقص شغل... نقص مهارة!"" 💡‎""‎",120242798816940517,"Post: ‎""‎""مش نقص شغل... نقص مهارة!"" 💡‎""‎",120242798817620517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
الديكور والماكس,not_delivering,7-day click or 1-day view,,,0,0,,90,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120209812111160517,New Engagement Ad set with recommended settings,120209812111150517,ديكور وماكس,120209812111140517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-08-04,-,-,-,0,0,,,,,0,0,0,,,,120210747470800517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210747470640517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210747470730517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-10-15,-,-,-,0,0,,,,,0,0,0,,,,120233630391490517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233630391130517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233630391220517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎مطلوب مهندسين طموحين!‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120238883985510517,"Post: ‎""‎مطلوب مهندسين طموحين!‎""‎",120238883982520517,"Post: ‎""‎مطلوب مهندسين طموحين!‎""‎",120238883982770517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
Promoting website: https://api.whatsapp.com/send,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120242740074930517,[4/13/2026] Promoting https://api.whatsapp.com/send,120242740072430517,[4/13/2026] Promoting https://api.whatsapp.com/send,120242740074370517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
New Engagement Ad with recommended settings,not_delivering,7-day click or 1-day view,,,0,0,,250,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120209696216450517,Seeef 2024,120209696216440517,Seeef 2024,120209696216430517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-07-18,-,-,-,0,0,,,,,0,0,0,,,,120210525830550517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210525830320517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210525830520517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-08-19,-,-,-,0,0,,,,,0,0,0,,,,120230846699530517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230846698980517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230846699160517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120238236341430517,"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",120238236340540517,"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",120238236340780517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎ابدأ مستقبلك في التصميم الداخلي باحتراف‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120241838462140517,"Post: ‎""‎ابدأ مستقبلك في التصميم الداخلي باحتراف‎""‎",120241838461690517,"Post: ‎""‎ابدأ مستقبلك في التصميم الداخلي باحتراف‎""‎",120241838462100517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-06-02,-,-,-,0,0,,,,,0,0,0,,,,120209506729960517,"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",120209506729590517,"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",120209506729650517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
Courses 17-7-2024,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120210514266280517,New Course 17-7-2024,120210514266240517,New Courses 17-7-2024,120210514266260517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎,not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-07-05,-,-,-,0,0,,,,,0,0,0,,,,120228079259990517,Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎,120228079259350517,Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎,120228079259730517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120237312946050517,"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",120237312943160517,"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",120237312944080517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120240035109250517,"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",120240035107810517,"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",120240035108140517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",inactive,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-05-28,-,-,-,0,0,,,,,0,0,0,,,,120209343963950517,"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",120209343963200517,"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",120209343963840517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-07-18,-,-,-,0,0,,,,,0,0,0,,,,120210506485030517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210506484860517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210506484980517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎🚧 **مطلوب مهندس معماري محترف!** 🚧‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-05-29,-,-,-,0,0,,,,,0,0,0,,,,120225357244760517,"Post: ‎""‎🚧 **مطلوب مهندس معماري محترف!** 🚧‎""‎",120225357244140517,"Post: ‎""‎🚧 **مطلوب مهندس معماري محترف!** 🚧‎""‎",120225357244220517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-10-04,-,-,-,0,0,,,,,0,0,0,,,,120233314517340517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233314516820517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233314517200517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120239132507540517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239132506420517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239132506750517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-03-31,-,-,-,0,0,,,,,0,0,0,,,,120207350537830517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207350537710517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207350537780517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-07-14,-,-,-,0,0,,,,,0,0,0,,,,120210434210880517,"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",120210434210680517,"Post: ‎""‎انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‎""‎",120210434210810517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-04-07,-,-,-,0,0,,,,,0,0,0,,,,120220180731790517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120220180728760517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120220180731430517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-09-30,-,-,-,0,0,,,,,0,0,0,,,,120232963154760517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232963154080517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232963154560517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2026-01-19,-,-,-,0,0,,,,,0,0,0,,,,120238800566880517,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",120238800563300517,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",120238800564140517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-03-31,-,-,-,0,0,,,,,0,0,0,,,,120207350488470517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207350488220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207350488270517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"المنشور: ‏""‏انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‏""‏",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-07-12,-,-,-,0,0,,,,,0,0,0,,,,120210373282650517,"المنشور: ‏""‏انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‏""‏",120210373282350517,"المنشور: ‏""‏انك تحترف برامج اوتوديسك مبقاش اختيار .. دلوقتي...‏""‏",120210373282580517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-03-31,-,-,-,0,0,,,,,0,0,0,,,,120218720201700517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120218720200830517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120218720201670517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-09-28,-,-,-,0,0,,,,,0,0,0,,,,120232853725520517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232853723560517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232853724580517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
Tailored messages campaign 11/15/2025 Ad,not_delivering,7-day click or 1-day view,,,0,0,,180,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120235955404050517,MTC 5-11-2025 Ad set,120235955404030517,MTC 5-11-2025 Campaign,120235955404040517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-03-30,-,-,-,0,0,,,,,0,0,0,,,,120207264903390517,"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207264902580517,"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207264903320517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Traffic,
New Engagement Ad with recommended settings,archived,7-day click or 1-day view,,,0,0,,250,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120210370001700517,New Engagement Ad set with recommended settings,120210370001710517,صيف 11-7-2024,120210370001720517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"‎Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎‎ - Copy",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-03-16,-,-,-,0,0,,,,,0,0,0,,,,120218094800820517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎ - Copy",120218094799370517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎ - Copy",120218094799770517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Engagement,
"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-08-19,-,-,-,0,0,,,,,0,0,0,,,,120230846829870517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230846829660517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230846829810517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
30 % OFF NEW 22-9-2025 Ad,not_delivering,7-day click or 1-day view,,,0,0,,180,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,,,120232816058910517,30 % OFF NEW 22-9-2025 Ad set,120232816058890517,30 % OFF NEW 22-9-2025 Campaign,120232816058900517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Traffic,
"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-03-25,-,-,-,0,0,,,,,0,0,0,,,,120207066441040517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207066440900517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207066440990517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2024-07-07,-,-,-,0,0,,,,,0,0,0,,,,120210276176800517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210276174390517,"المنشور: ‏""‏مش هتلاقي خصومات تاني زي دي للكورسات الهندسية...‏""‏",120210276176580517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-03-11,-,-,-,0,0,,,,,0,0,0,,,,120217654424160517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120217654423960517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120217654424110517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-08-13,-,-,-,0,0,,,,,0,0,0,,,,120230585664460517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230585664290517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230585664340517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",not_delivering,7-day click or 1-day view,,,0,0,,Using campaign budget,0,0,2025-09-01,-,-,-,0,0,,,,,0,0,0,,,,120231541259170517,"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",120231541258620517,"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",120231541258890517,2026-05-01,2026-05-07,0,ABSOLUTE_OCPM,Messages,
